"","names","HR","LCL","UCL"
"SexM","SexM",1.11685356188998,0.949427145275489,1.31380473469019
"simd2","simd2",1.13678221387462,0.9108594006156,1.41874124690188
"simd3","simd3",0.953147405084971,0.741396952274462,1.2253759245073
"simd4","simd4",1.0276316192043,0.802214755831,1.31638908049571
"simd5-Low","simd5-Low",0.661153918081127,0.49447736175041,0.884013176754221
"n_risk_gps1","n_risk_gps1",1.74937204083177,1.43053657684348,2.13926898953996
"n_risk_gps2","n_risk_gps2",2.71016117665628,2.08926393534437,3.51557956809526
"n_risk_gps3","n_risk_gps3",4.67601602595047,3.37420106790474,6.48008978567572
"n_risk_gps4","n_risk_gps4",4.72650894584443,2.89897141518864,7.70614249526628
"n_risk_gps5+","n_risk_gps5+",8.87852057832306,5.65233813851781,13.9461096855711
"variantAY.4.2","variantAY.4.2",1.22418387958286,0.882420760053088,1.6983124591724
"variantother","variantother",1.0712250986852,0.469437882350565,2.4444623137512
"vsv1_0:27","vsv1_0:27",0.405752344278696,0.247119867088148,0.666215010664973
"vsv1_28+","vsv1_28+",0.329158622737465,0.235185812676611,0.460679994636427
"vsv2_0:27","vsv2_0:27",0.181306559551039,0.10398551838981,0.316121600827211
"vsv2_28+","vsv2_28+",0.195279435974705,0.153395857152829,0.248599009271846
