"","names","HR","LCL","UCL"
"SexM","SexM",1.11875121655379,0.951003780359611,1.31608760174151
"simd2","simd2",1.13426193194469,0.908824850583952,1.41561944464024
"simd3","simd3",0.952887099520695,0.741164875258233,1.22509019887998
"simd4","simd4",1.02410982912176,0.799455210165185,1.31189456115633
"simd5-Low","simd5-Low",0.658831525324869,0.492717759008721,0.88094851631725
"n_risk_gps1","n_risk_gps1",1.74944061651487,1.43063702620832,2.13928649590694
"n_risk_gps2","n_risk_gps2",2.71174683572835,2.09047179093398,3.51766090935734
"n_risk_gps3","n_risk_gps3",4.67643229006533,3.37405187572605,6.48153015100271
"n_risk_gps4","n_risk_gps4",4.71645790512687,2.89238677724556,7.69087154796699
"n_risk_gps5+","n_risk_gps5+",8.85794945958518,5.63677316779346,13.9198910960045
"variantAY.4.2","variantAY.4.2",1.85496660925441,1.08903933383345,3.15957469537554
"variantother","variantother",1.27698242122362,0.464680599201814,3.50925798691656
"variantdelta:vsv1_0:27","variantdelta:vsv1_0:27",0.416847432943448,0.25011635717962,0.694723785005216
"variantAY.4.2:vsv1_0:27","variantAY.4.2:vsv1_0:27",NA,NA,NA
"variantother:vsv1_0:27","variantother:vsv1_0:27",0.557529860537413,0.062181700505426,4.99889103810764
"variantdelta:vsv1_28+","variantdelta:vsv1_28+",0.345873434005634,0.244725692255238,0.488826617460673
"variantAY.4.2:vsv1_28+","variantAY.4.2:vsv1_28+",0.209725887959553,0.0478845931124086,0.918561591975287
"variantother:vsv1_28+","variantother:vsv1_28+",NA,NA,NA
"variantdelta:vsv2_0:27","variantdelta:vsv2_0:27",0.198206353493002,0.113455420090225,0.346266035891022
"variantAY.4.2:vsv2_0:27","variantAY.4.2:vsv2_0:27",NA,NA,NA
"variantother:vsv2_0:27","variantother:vsv2_0:27",NA,NA,NA
"variantdelta:vsv2_28+","variantdelta:vsv2_28+",0.203798797459474,0.159060439338796,0.261120552782212
"variantAY.4.2:vsv2_28+","variantAY.4.2:vsv2_28+",0.113929428681328,0.05827237854441,0.222745579361614
"variantother:vsv2_28+","variantother:vsv2_28+",0.185440350798531,0.0202920079201885,1.69466342806172
