"","variant_vs","pyears","n","event"
"1","AY.4.2_uv",28.2381930184805,465,14
"2","AY.4.2_v1_0:27",3.21149897330595,46,0
"3","AY.4.2_v1_28+",15.9397672826831,232,2
"4","AY.4.2_v2_0:27",6.89390828199863,89,0
"5","AY.4.2_v2_28+",86.1711156741958,1493,23
"6","delta_uv",637.55318275154,9587,174
"7","delta_v1_0:27",190.053388090349,2559,18
"8","delta_v1_28+",353.681040383299,4964,44
"9","delta_v2_0:27",155.403148528405,2115,14
"10","delta_v2_28+",1175.98412046543,20069,300
"11","other_uv",16.3394934976044,233,4
"12","other_v1_0:27",4.79397672826831,69,1
"13","other_v1_28+",3.49349760438056,51,0
"14","other_v2_0:27",2.3025325119781,31,0
"15","other_v2_28+",2.51882272416153,59,1
