"Characteristic","Levels","Total"
"Sex","","137,554 (51.0%)"
"","M","132,165 (49.0%)"
"ageYear","mean.sd","41.4 (16.7)"
"","median.iqr","39 (26)"
"age_grp","18-64","242,802 (90.0%)"
"","65-79","20,985 (7.8%)"
"","80+","5,932 (2.2%)"
"vs","uv","58,973 (21.9%)"
"","v1_0:27","14,602 (5.4%)"
"","v1_28+","35,141 (13.0%)"
"","v2_0:27","15,235 (5.6%)"
"","v2_28+","145,768 (54.0%)"
"vs_type","AZ_v1_0:27","902 (0.3%)"
"","AZ_v1_28+","8,520 (3.2%)"
"","AZ_v2_0:27","6,521 (2.4%)"
"","AZ_v2_28+","96,387 (35.7%)"
"","Mo_v1_0:27","2,436 (0.9%)"
"","Mo_v1_28+","4,603 (1.7%)"
"","Mo_v2_0:27","1,180 (0.4%)"
"","Mo_v2_28+","1,195 (0.4%)"
"","PB_v1_0:27","11,264 (4.2%)"
"","PB_v1_28+","22,018 (8.2%)"
"","PB_v2_0:27","7,534 (2.8%)"
"","PB_v2_28+","48,186 (17.9%)"
"","uv","58,973 (21.9%)"
"in_hosp_at_test","mean.sd","0 (0.2)"
"","median.iqr","0 (0)"
"lab","lh","255,467 (94.7%)"
"","nhs","14,252 (5.3%)"
"hosp_covid","mean.sd","0 (0.2)"
"","median.iqr","0 (0)"
"hosp_covid_emerg","mean.sd","0 (0.2)"
"","median.iqr","0 (0)"
"death_covid","mean.sd","0 (0.1)"
"","median.iqr","0 (0)"
"death","mean.sd","0 (0.1)"
"","median.iqr","0 (0)"
"simd","1 - High","62,783 (23.3%)"
"","2","57,061 (21.2%)"
"","3","48,785 (18.1%)"
"","4","49,085 (18.2%)"
"","5-Low","50,254 (18.6%)"
"",NA,"1,751 (0.6%)"
"ur6_2016","1","100,301 (37.2%)"
"","2","106,565 (39.5%)"
"","3","23,226 (8.6%)"
"","4","8,657 (3.2%)"
"","5","21,460 (8.0%)"
"","6","7,759 (2.9%)"
"","Unknown","1,751 (0.6%)"
"n_risk_gps","0","166,657 (61.8%)"
"","1","69,533 (25.8%)"
"","2","18,901 (7.0%)"
"","3","5,719 (2.1%)"
"","4","2,243 (0.8%)"
"","5+","1,430 (0.5%)"
"",NA,"5,236 (1.9%)"
"n_tests","0","264,448 (98.0%)"
"","1","35 (0.0%)"
"",NA,"5,236 (1.9%)"
"ave_hh_age","mean.sd","37.7 (16.2)"
"","median.iqr","34 (21.5)"
"n_hh_gp","1","61,977 (23.0%)"
"","2","64,597 (23.9%)"
"","3-5","125,625 (46.6%)"
"","6-10","11,367 (4.2%)"
