"Characteristic","Levels","delta","AY.4.2","other"
"Total N (%)","","41384 (93.5)","2397 (5.4)","466 (1.1)"
"Sex","F","21155 (51.1)","1212 (50.6)","225 (48.3)"
"","M","20229 (48.9)","1185 (49.4)","241 (51.7)"
"ageYear","Mean (SD)","42.3 (17.9)","43.6 (17.3)","34.1 (15.0)"
"age_grp","18-64","36273 (87.6)","2106 (87.9)","447 (95.9)"
"","65-79","3503 (8.5)","221 (9.2)","14 (3.0)"
"","80+","1608 (3.9)","70 (2.9)","5 (1.1)"
"vs","uv","10209 (24.7)","482 (20.1)","245 (52.6)"
"","v1_0:27","2634 (6.4)","47 (2.0)","70 (15.0)"
"","v1_28+","5194 (12.6)","242 (10.1)","54 (11.6)"
"","v2_0:27","2197 (5.3)","91 (3.8)","31 (6.7)"
"","v2_28+","21150 (51.1)","1535 (64.0)","66 (14.2)"
"vs_type","AZ_v1_0:27","217 (0.5)","7 (0.3)","14 (3.0)"
"","AZ_v1_28+","1441 (3.5)","60 (2.5)","33 (7.1)"
"","AZ_v2_0:27","1206 (2.9)","23 (1.0)","29 (6.2)"
"","AZ_v2_28+","13794 (33.3)","1056 (44.1)","36 (7.7)"
"","Mo_v1_0:27","398 (1.0)","7 (0.3)","8 (1.7)"
"","Mo_v1_28+","563 (1.4)","41 (1.7)","2 (0.4)"
"","Mo_v2_0:27","133 (0.3)","11 (0.5)",""
"","Mo_v2_28+","105 (0.3)","10 (0.4)",""
"","PB_v1_0:27","2019 (4.9)","33 (1.4)","48 (10.3)"
"","PB_v1_28+","3190 (7.7)","141 (5.9)","19 (4.1)"
"","PB_v2_0:27","858 (2.1)","57 (2.4)","2 (0.4)"
"","PB_v2_28+","7251 (17.5)","469 (19.6)","30 (6.4)"
"","uv","10209 (24.7)","482 (20.1)","245 (52.6)"
"in_hosp_at_test","0","40920 (98.9)","2377 (99.2)","459 (98.5)"
"","1","464 (1.1)","20 (0.8)","7 (1.5)"
"lab","lh","34160 (87.2)","2151 (92.7)","380 (86.0)"
"","nhs","5003 (12.8)","170 (7.3)","62 (14.0)"
"hosp_covid","0","38435 (92.9)","2264 (94.5)","441 (94.6)"
"","1","2949 (7.1)","133 (5.5)","25 (5.4)"
"hosp_covid_emerg","0","38634 (93.4)","2274 (94.9)","443 (95.1)"
"","1","2750 (6.6)","123 (5.1)","23 (4.9)"
"death_covid","0","40708 (98.4)","2372 (99.0)","460 (98.7)"
"","1","676 (1.6)","25 (1.0)","6 (1.3)"
"death","0","40646 (98.2)","2372 (99.0)","459 (98.5)"
"","1","738 (1.8)","25 (1.0)","7 (1.5)"
"simd","1 - High","10043 (24.4)","594 (24.9)","126 (27.2)"
"","2","8932 (21.7)","512 (21.5)","107 (23.1)"
"","3","7308 (17.8)","435 (18.2)","82 (17.7)"
"","4","7460 (18.2)","433 (18.2)","73 (15.8)"
"","5-Low","7346 (17.9)","410 (17.2)","75 (16.2)"
"ur6_2016","1","15513 (37.5)","984 (41.1)","204 (43.8)"
"","2","16069 (38.8)","889 (37.1)","190 (40.8)"
"","3","3577 (8.6)","212 (8.8)","35 (7.5)"
"","4","1375 (3.3)","74 (3.1)","4 (0.9)"
"","5","3357 (8.1)","148 (6.2)","22 (4.7)"
"","6","1198 (2.9)","77 (3.2)","8 (1.7)"
"","Unknown","295 (0.7)","13 (0.5)","3 (0.6)"
"n_risk_gps","0","24742 (61.1)","1420 (60.5)","313 (68.9)"
"","1","10493 (25.9)","628 (26.7)","109 (24.0)"
"","2","3174 (7.8)","191 (8.1)","15 (3.3)"
"","3","1154 (2.8)","65 (2.8)","10 (2.2)"
"","4","519 (1.3)","26 (1.1)","3 (0.7)"
"","5+","435 (1.1)","19 (0.8)","4 (0.9)"
"n_tests","0","40193 (99.2)","2335 (99.4)","449 (98.9)"
"","1","324 (0.8)","14 (0.6)","5 (1.1)"
"","2","0 (0.0)","0 (0.0)","0 (0.0)"
"ave_hh_age","Mean (SD)","38.8 (17.3)","39.5 (17.0)","33.7 (13.1)"
"n_hh_gp","1","9976 (24.6)","600 (25.5)","98 (21.6)"
"","2","9763 (24.1)","585 (24.9)","94 (20.7)"
"","3-5","18732 (46.2)","1046 (44.5)","240 (52.9)"
"","6-10","1765 (4.4)","105 (4.5)","19 (4.2)"
"","11-30","154 (0.4)","9 (0.4)","0 (0.0)"
"","31-100","111 (0.3)","4 (0.2)","3 (0.7)"
"","101+","46 (0.1)","0 (0.0)","0 (0.0)"
"bmi_cat","Underweight","422 (1.0)","20 (0.9)","10 (2.2)"
"","Normal weight","5039 (12.4)","266 (11.3)","64 (14.1)"
"","Overweight","28241 (69.7)","1643 (69.9)","326 (71.8)"
"","Obese","6815 (16.8)","420 (17.9)","54 (11.9)"
"Q_DIAG_AF","0","39754 (98.1)","2314 (98.5)","451 (99.3)"
"","1","763 (1.9)","35 (1.5)","3 (0.7)"
"Q_DIAG_ASTHMA","0","34281 (84.6)","1978 (84.2)","383 (84.4)"
"","1","6236 (15.4)","371 (15.8)","71 (15.6)"
"Q_DIAG_BLOOD_CANCER","0","40337 (99.6)","2337 (99.5)","450 (99.1)"
"","1","180 (0.4)","12 (0.5)","4 (0.9)"
"Q_DIAG_CCF","0","40147 (99.1)","2332 (99.3)","450 (99.1)"
"","1","370 (0.9)","17 (0.7)","4 (0.9)"
"Q_DIAG_CEREBRALPALSY","0","40472 (99.9)","2348 (100.0)","454 (100.0)"
"","1","45 (0.1)","1 (0.0)","0 (0.0)"
"Q_DIAG_CHD","0","39101 (96.5)","2273 (96.8)","446 (98.2)"
"","1","1416 (3.5)","76 (3.2)","8 (1.8)"
"Q_DIAG_CIRRHOSIS","0","40307 (99.5)","2338 (99.5)","453 (99.8)"
"","1","210 (0.5)","11 (0.5)","1 (0.2)"
"Q_DIAG_CONGEN_HD","0","40241 (99.3)","2329 (99.1)","452 (99.6)"
"","1","276 (0.7)","20 (0.9)","2 (0.4)"
"Q_DIAG_COPD","0","39536 (97.6)","2304 (98.1)","447 (98.5)"
"","1","981 (2.4)","45 (1.9)","7 (1.5)"
"Q_DIAG_DEMENTIA","0","40146 (99.1)","2328 (99.1)","452 (99.6)"
"","1","371 (0.9)","21 (0.9)","2 (0.4)"
"Q_DIAG_DIABETES_1","0","40316 (99.5)","2327 (99.1)","449 (98.9)"
"","1","201 (0.5)","22 (0.9)","5 (1.1)"
"Q_DIAG_DIABETES_2","0","38501 (95.0)","2233 (95.1)","443 (97.6)"
"","1","2016 (5.0)","116 (4.9)","11 (2.4)"
"Q_DIAG_EPILEPSY","0","39951 (98.6)","2315 (98.6)","450 (99.1)"
"","1","566 (1.4)","34 (1.4)","4 (0.9)"
"Q_DIAG_FRACTURE","0","38690 (95.5)","2245 (95.6)","440 (96.9)"
"","1","1827 (4.5)","104 (4.4)","14 (3.1)"
"Q_DIAG_NEURO","0","40377 (99.7)","2343 (99.7)","453 (99.8)"
"","1","140 (0.3)","6 (0.3)","1 (0.2)"
"Q_DIAG_PARKINSONS","0","40455 (99.8)","2347 (99.9)","453 (99.8)"
"","1","62 (0.2)","2 (0.1)","1 (0.2)"
"Q_DIAG_PULM_HYPER","0","40431 (99.8)","2342 (99.7)","454 (100.0)"
"","1","86 (0.2)","7 (0.3)","0 (0.0)"
"Q_DIAG_PULM_RARE","0","40345 (99.6)","2340 (99.6)","451 (99.3)"
"","1","172 (0.4)","9 (0.4)","3 (0.7)"
"Q_DIAG_PVD","0","40243 (99.3)","2338 (99.5)","452 (99.6)"
"","1","274 (0.7)","11 (0.5)","2 (0.4)"
"Q_DIAG_RA_SLE","0","40154 (99.1)","2327 (99.1)","453 (99.8)"
"","1","363 (0.9)","22 (0.9)","1 (0.2)"
"Q_DIAG_RESP_CANCER","0","40436 (99.8)","2349 (100.0)","453 (99.8)"
"","1","81 (0.2)","0 (0.0)","1 (0.2)"
"Q_DIAG_SEV_MENT_ILL","0","35777 (88.3)","2071 (88.2)","423 (93.2)"
"","1","4740 (11.7)","278 (11.8)","31 (6.8)"
"Q_DIAG_SICKLE_CELL","0","40485 (99.9)","2348 (100.0)","454 (100.0)"
"","1","32 (0.1)","1 (0.0)","0 (0.0)"
"Q_DIAG_STROKE","0","39631 (97.8)","2308 (98.3)","452 (99.6)"
"","1","886 (2.2)","41 (1.7)","2 (0.4)"
"Q_DIAG_VTE","0","39919 (98.5)","2307 (98.2)","450 (99.1)"
"","1","598 (1.5)","42 (1.8)","4 (0.9)"
"Q_BMI","Mean (SD)","28.4 (6.4)","28.6 (6.3)","26.9 (6.4)"
